time_s,position_deg,target_deg,raw_velocity_deg_s,control_velocity_deg_s,target_velocity_deg_s,requested_pwm,output_pwm,cap
0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.051,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.11,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.16,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.21,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.27,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.33,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.38,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.44,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.5,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.56,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.62,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.68,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.73,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.79,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.841,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.9,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
0.951,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
1.01,-0.0,0.0,0.0,0.0,0.05,0.183,0.183,80.0
1.07,-0.0,0.012,0.0,0.0,0.35,1.839,1.839,80.0
1.13,-0.0,0.043,0.0,0.0,0.652,4.49,4.49,80.0
1.19,-0.0,0.09,0.0,0.0,0.948,8.036,8.036,80.0
1.24,-0.0,0.144,0.0,0.0,1.2,11.803,11.803,80.0
1.3,-0.0,0.224,0.0,0.0,1.498,17.119,17.119,80.0
1.36,-0.0,0.325,0.0,0.0,1.802,23.543,23.543,80.0
1.41,-0.0,0.421,0.0,0.0,2.052,29.578,29.578,80.0
1.47,-0.0,0.551,0.0,0.0,2.348,37.561,37.561,80.0
1.52,-0.0,0.676,0.0,0.0,2.6,45.113,45.113,80.0
1.57,0.15,0.812,5.528,3.52,2.85,44.168,44.168,80.0
1.63,0.267,0.991,5.366,1.664,3.149,49.079,49.079,80.0
1.68,0.742,1.156,5.313,9.564,3.4,30.799,38.489,80.0
1.73,0.846,1.333,0.0,1.564,3.651,38.032,38.032,80.0
1.79,0.918,1.559,5.354,2.386,3.948,47.067,47.067,80.0
1.85,1.296,1.805,0.0,3.605,4.249,40.636,39.998,80.0
1.91,1.413,2.072,10.135,4.221,4.552,49.533,49.533,80.0
1.97,1.816,2.353,3.166,6.986,4.85,43.066,43.066,80.0
2.02,2.038,2.602,4.562,3.938,5.0,46.023,46.023,80.0
2.08,2.48,2.9,4.786,7.483,5.0,37.172,37.579,80.0
2.14,2.546,3.201,4.882,1.9,5.0,51.568,51.568,80.0
2.2,3.079,3.5,4.684,6.019,5.0,37.659,37.659,80.0
2.261,3.112,3.803,3.288,1.607,5.0,53.556,52.811,80.0
2.321,3.926,4.103,4.69,11.313,5.0,22.934,37.827,80.0
2.38,3.945,4.399,0.0,0.709,5.0,41.045,39.796,80.0
2.44,4.03,4.702,4.832,2.655,5.0,52.222,52.222,80.0
2.501,4.648,5.003,13.631,10.317,5.0,32.794,38.283,80.0
2.559,4.733,5.297,0.0,1.254,5.0,46.838,45.603,80.0
2.61,5.137,5.551,5.134,8.085,5.0,36.695,39.355,80.0
2.67,5.228,5.85,4.71,2.218,5.0,49.641,49.641,80.0
2.72,5.651,6.101,2.571,7.584,5.0,38.751,39.114,80.0
2.77,5.684,6.351,5.019,1.538,5.0,52.306,51.513,80.0
2.83,6.595,6.648,18.545,15.988,5.0,14.835,40.19,80.0
2.89,6.654,6.95,0.0,1.12,5.0,32.497,32.073,80.0
2.941,6.654,7.203,0.0,0.098,5.0,46.38,44.693,80.0
3.0,6.882,7.501,8.907,5.529,5.0,48.492,48.492,80.0
3.06,7.461,7.801,8.343,8.525,5.0,32.58,35.337,80.0
3.12,7.598,8.098,0.0,1.423,5.0,43.345,42.558,80.0
3.17,7.839,8.35,8.698,5.728,5.0,42.63,42.63,80.0
3.221,8.001,8.604,4.528,3.145,5.0,48.327,48.327,80.0
3.28,8.346,8.898,10.021,5.482,5.0,44.843,44.843,80.0
3.33,8.659,9.152,8.878,7.445,5.0,41.106,41.517,80.0
3.39,8.958,9.451,0.0,3.151,5.0,42.425,42.425,80.0
3.45,9.323,9.751,9.787,8.927,5.0,37.175,39.973,80.0
3.51,9.408,10.048,0.0,1.042,5.0,50.987,49.327,80.0
