receipt_ros_s,message_stamp_ns,message_seq,power_state_digital,power_state_signal,power_state_power,power_state_clean,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,i_0,i_1,i_2,i_3,i_4,i_5,i_6,i_7,min_bus_voltage,max_abs_current,estimated_total_power_w
1789110816.911167,1789110816910531313,100,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.200000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.921535,1789110816921201920,101,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.200000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.932141,1789110816931748490,102,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.200000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.942845,1789110816942323285,103,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.200000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.953498,1789110816953188138,104,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,0.200000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.963731,1789110816963533581,105,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.974072,1789110816973871632,106,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.984514,1789110816984178610,107,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110816.994671,1789110816994482516,108,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.005092,1789110817004824695,109,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.015416,1789110817015208859,110,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.025724,1789110817025514589,111,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.036067,1789110817035861600,112,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.046401,1789110817046171234,113,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.056770,1789110817056520037,114,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.067117,1789110817066887401,115,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.077462,1789110817077193515,116,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.087671,1789110817087481900,117,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.098001,1789110817097793646,118,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.108305,1789110817108066862,119,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
1789110817.118602,1789110817118351535,120,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,0.000000,0.000000,6.250000,99.000000,0.000000,0.000000,0.000000,0.000000,0.000000,99.000000,0.000000
