ratio,packet_ms,filter_ms,velocity_rms_error,kd_pwm_rms_error,peak_velocity_error
8,1,0,432.647677866,1.2979430336,1002.18644598
8,1,5,128.741530195,0.386224590585,357.800795738
8,1,20,440.11593548,1.32034780644,937.239401944
8,5,0,39787.1432408,119.361429722,110550.827132
8,5,5,5088.70656647,15.2661196994,10924.1113751
8,5,20,1454.33877962,4.36301633885,3598.58079601
5.9,1,0,415.091815309,1.24527544593,999.229342517
5.9,1,5,211.50913736,0.63452741208,561.492463812
5.9,1,20,758.633125027,2.27589937508,1698.81097529
5.9,5,0,53226.5769619,159.679730886,149721.64561
5.9,5,5,6809.82408402,20.4294722521,14775.1525998
5.9,5,20,2015.22493951,6.04567481852,5353.37811135
1,1,0,773.734745549,2.32120423665,2402.8937814
1,1,5,7248.03165551,21.7440949665,15707.7292872
1,1,20,24249.7396714,72.7492190143,56146.9829722
1,5,0,309457.910197,928.37373059,881054.669839
1,5,5,40772.4140658,122.317242197,90717.7451064
1,5,20,28672.7490874,86.0182472622,81736.6088849
