in_local_head,local_exists,local_head_sha256,local_sha256,path,status,upstream_differs_from_local_head,upstream_object,upstream_sha256,upstream_text_differs_from_local_head,upstream_type,working_differs_from_head,working_text_differs_from_head
False,True,,f44ea5ca70bce3599c716ab93f66367107f5572c1da61028f786cf398df9d790,README.md,modified,,d7657f442a6428ea0a8b818e5da5a3da8fa487e4,70d7a0c733183c31da96d7ade6c85703954b63ca6b9c5589e8415ded52394da4,,blob,,
False,False,,,src/microstrain_inertial,gitlink_absent,,88c53dc66f45cad01821a441250bfb97d294deed,,,commit,,
True,True,ca6af0c7a2759cc07148835560d0e7d28939bd772c8cad12682cf6352b2d4880,719b31eec63f4f6a201f3c7009f4ab877f3b0334a947be8c1a50e0f6b368697e,src/rinbo_data_recorder/CMakeLists.txt,modified,True,f1af94b56489830708f9122cd4a1dbe9e2b7816f,fdba91c7723ca217115867b3b6c47fb9e0f94bd604e4c96b41bad1780c31793c,False,blob,True,True
True,True,71d6fcf64bd892fbe8433a38fe836a26663b0e4cbb864fb6785ed55e278b743b,97b51e4a80075beb99cc252b702ea7857e54e1dc3aee83a0dd3e6e7e105968ce,src/rinbo_data_recorder/package.xml,modified,True,88ead6ac0bdbc1bdbe77767adeed0669a1d8eda5,adfd47feb952ce9d7ea9a774ca3f33383122388c3686564f1bdcccb4549834f7,False,blob,True,True
True,True,1784bfab6e0d7f080d6c8d1b1a7477e5e8849f9484823a99edafc0f5b516ebd9,5cde87f147770ea3832e55014e2a268c807ba8404b1782af96cfc2cee0652041,src/rinbo_data_recorder/src/rinbo_data_recorder.cpp,modified,True,076f687b28e37edf52fd8aaeb87bb01464c536c2,d7434ef1afa458cd9ff6937c1f3cc4fb6cf598796b62fe3910333ff7692cd932,True,blob,True,True
True,True,551e5a791177022ec9318fb7eee3b2c5d613cfd32f9f56cc62142017962909ea,9c8c17a85c5f5bfc53e65bdb51b992cfdc2b4f2b1d11b0e01675c0909dca1475,src/rinbo_fsm/CMakeLists.txt,modified,True,ffb0f09f2282bb6fd00e5b845de48a1a682dea0b,eb0f2512659f9ed0f42a41b62938a16103942c6c22edf7862a9bffbe5297b7f2,False,blob,True,True
True,True,6133d1e45658985257386f4a7a2e20ec1239291e4d1d2334c3c225d6fa662926,69ae76911a9151e407a89d49a51e7d151c9afe87c61a1926e62b6a6594927b44,src/rinbo_fsm/package.xml,modified,True,602ec3984a700331db07412a2bde60f71fc5967d,084283033b0d777484a2c315fbee6c39268def00d01211f8d833d575032907dc,False,blob,True,True
True,True,e3ca9c1b62018cd11649028b6d23f0b20e0a7e4a2f8e94ca0665c83c0a661768,653645dc80437feaadb607527df7664a5bd8c72177b07f6e2bfb538c7961f38c,src/rinbo_fsm/src/rinbo_cali.cpp,modified,True,4f98d3f646b0bd4c5a28d07e7fb82b2428c91196,216c6071dd256407cc7229ef830ba2c847f1d764349b541dea805f1f64cb762a,True,blob,True,True
True,True,0c822029cb22aa705e3fc45219600275dec04f640274b6e354003b4165e4f7f3,c7e810e61b7e78ee41705d87349c910542281641ab58344e8e9d7b3d805c4d89,src/rinbo_fsm/src/rinbo_standing.cpp,modified,True,5c512bc2ca5083b951aa4a8c9e79835c8e5bde98,2f1fec9e8b91b034b0cc263d962166599ed95c1ed71f77a71c6017eccfedb327,False,blob,True,True
True,True,a7ed925988cf845ee579ddc2183761cdf7f3124aaaf22d6927c3ed3ccf5a2ecd,7ce324b72a5d591f8e26f850783ac3817f9ba73990cdb075ad177ff8a73ea4a8,src/rinbo_fsm/src/rinbo_tripod.cpp,modified,True,81f6f4b8cd0dd17e1804b4532b4000425516a666,d9eb6df4cdddd271c58727d564aad504ec2bd0d95542e6dfc16f9e11d3722810,True,blob,True,True
