編號,範圍,項目,GitHub舊版,目前盤點版本,影響與相依,建議（不是已選）,選擇A/B/C,備註,程式或設定位置,可確認修改來源
C01,Calibration 校正,KP 位置修正係數,0.35,0.08,變更位置誤差造成的 PWM；與 KD、前饋和 PWM 上限一起檢視。,C：依實測選值；不要把 Tripod 的 0.38 自動套到這裡,,,src/rinbo_fsm/src/rinbo_cali.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前現場調整可確認；最近 Tripod 恢復沒有更動此值
C02,Calibration 校正,KD 速度修正係數,0.002,0.006,現值為原版 3 倍；實際影響也取決於速度濾波。,C：與該階段速度回饋共同評估,,,src/rinbo_fsm/src/rinbo_cali.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C03,Calibration 校正,K_FF 速度前饋,0.02,0.005,相同目標速度下前饋為原版四分之一；不是位置保護。,C：與 PWM／摩擦補償成套评估,,,src/rinbo_fsm/src/rinbo_cali.cpp; src/rinbo_fsm/src/motion_effort.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C04,Calibration 校正,額外摩擦補償,無，0 PWM,40×tanh(target_velocity/153.6) PWM,速度接近零時平滑歸零；目前 80 PWM 上限下影響比例大。,C：量測後決定，不能以固定補償取代控制調校,,,src/rinbo_fsm/src/motion_effort.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C05,Calibration 校正,控制速度濾波,原始位置差分，無濾波,固定 20 ms；原始速度仍供停穩等判斷,減少速度尖峰，也增加回饋延遲；不等於輸出 slew。,C：比較原始／短時間常數；不要直接改共用預設影響別的模式,,,src/rinbo_fsm/src/control_velocity.hpp; src/rinbo_fsm/src/rinbo_cali.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C06,Calibration 校正,主驅動最大 PWM,500,80，且原生共用硬上限也為 80,只改 YAML 到 500 會被拒絕；需同步驗證器，Standing 上限還影響 Manual。,C：與增益、負載和該模式一起評估，不沿用 Tripod 3300,,,src/rinbo_fsm/src/rinbo_cali.cpp; src/rinbo_fsm/src/safety_invariants.hpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C07,Calibration 校正,尋 Hall 巡航速度,0.2π rad/s＝36°/s＝5529.6 counts/s,相同,這個速度並未被降低；不可把較低 PWM 誤認成目標速度變慢。,B：相同，無須回復,,,src/rinbo_fsm/src/rinbo_cali.cpp,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C08,Calibration 校正,尋 Hall 起步曲線,直接切到固定速度的線性位置參考,0.5 秒加速到同一巡航速度,速度上限不變；移除 ramp 會恢復起步速度跳變。,B：保留平滑起步,,,src/rinbo_fsm/src/motor_tracking.hpp; src/rinbo_fsm/src/rinbo_cali.cpp,9/8 方向／到位診斷文件記載的修正
C09,Calibration 校正,伺服定位等待上限,無明確 timeout,60 秒；可設範圍 >0～600 秒,原版可能永遠等不到定位；目前逾時報出第一個原因。,B：目前 60 秒；若確有慢速需求可選 C,,,src/rinbo_fsm/src/rinbo_cali.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C10,Calibration 校正,主馬達尋 Hall 等待上限,無明確 timeout,60 秒；可設範圍 >0～600 秒,位置／尋零等待，不是通訊失聯期限。,B：目前 60 秒,,,src/rinbo_fsm/src/rinbo_cali.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C11,Calibration 校正,停穩／歸零等待上限,無明確 timeout,各階段 15 秒；可設範圍 >0～600 秒,停止與歸零各有期限；操作台等待预算也依這些設定計算。,B：15 秒；與歸零確認一起保留,,,src/rinbo_fsm/src/rinbo_cali.cpp; /home/jetson/redrhex_site/rinbo_fsm_disabled_leg.yaml,目前源碼／設定可確認；完整逐行作者無法由未提交檔案判定
C12,Calibration 校正,Hall 後停穩與歸零完成判定,速度 <500 counts/s 持續 0.3 秒，送一次 reset 就 DONE,先停穩，再等待 |raw position|≤100 counts 且低速回讀；允許有界 reset 重送,原版送出命令不代表歸零已完成；恢復可能影響下一步站立原點。,B：保留回讀確認,,,src/rinbo_fsm/src/rinbo_cali.cpp,既有校正修正；最近 Tripod 改動保留此行為
